,step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
83,42,2122,42,0.0468565984070301,1.0,1.0,,,,,
84,43,2195,43,0.082516568592853,0.0,0.0,,,,,
85,43,2003,43,0.1024799189716577,0.0,0.0,,,,,
86,44,2236,44,0.1047353969812393,0.0,0.0,,,,,
87,44,2044,44,0.0699235621392726,0.0,0.0,,,,,
88,45,2093,45,0.0833050459995865,0.0,0.0,,,,,
89,45,2277,45,0.0806299045681953,0.0,0.0,,,,,
90,46,2318,46,0.0399503459781408,1.0,1.0,,,,,
91,46,2142,46,0.0616624405235052,1.0,1.0,,,,,
92,47,2351,47,0.0395729096233844,1.0,1.0,,,,,
93,47,2199,47,0.067518660181335,0.0,0.0,,,,,
94,48,2408,48,0.0683779169459428,0.0,0.0,,,,,
95,48,2288,48,0.0474644657427614,0.0,0.0,,,,,
96,49,2353,49,0.0634858542773872,0.0,0.0,0.0529852071106433,1.0,1.0,,
97,49,2449,49,0.0591069889888167,0.0,0.0,0.0482499021398169,1.0,1.0,,
98,50,2418,50,0.0463804716104641,0.0,0.0,,,,,
99,50,2482,50,0.0695258188061416,0.0,0.0,,,,,
100,51,2539,51,0.0476902590585606,1.0,1.0,,,,,
101,51,2451,51,0.068776021413505,0.0,0.0,,,,,
102,52,2492,52,0.1113250281661749,0.0,0.0,,,,,
103,52,2596,52,0.0594585048327488,0.0,0.0,,,,,
104,53,2565,53,0.036875285067492,1.0,1.0,,,,,
105,53,2645,53,0.0402968998004992,1.0,1.0,,,,,
106,54,2670,54,0.0799035107716917,1.0,1.0,,,,,
107,54,2606,54,0.0933111668825149,0.0,0.0,,,,,
108,55,2671,55,0.0617705498356372,0.0,0.0,,,,,
109,55,2711,55,0.1158030720800161,0.0,0.0,,,,,
110,56,2768,56,0.0517390485852956,0.0,0.0,,,,,
111,56,2688,56,0.1583891200274229,0.0,0.0,,,,,
112,57,2817,57,0.0424046884911755,1.0,1.0,0.0581930864155292,0.0,0.0,,
113,57,2737,57,0.0373892644047737,1.0,1.0,0.0430726183392107,1.0,1.0,,
114,58,2794,58,0.0692557137885264,0.0,0.0,,,,,
115,58,2890,58,0.0487420870694849,1.0,1.0,,,,,
116,59,2851,59,0.0404131545020001,1.0,1.0,,,,,
117,59,2931,59,0.0562066809684038,0.0,0.0,,,,,
118,60,2900,60,0.0771297186488906,0.0,0.0,,,,,
119,60,2964,60,0.0582972797751426,1.0,1.0,,,,,
120,61,2973,61,0.0413848625951343,1.0,1.0,,,,,
121,61,2997,61,0.0946715260017663,0.0,0.0,,,,,
122,62,3070,62,0.0523203488439321,0.0,0.0,,,,,
123,62,3030,62,0.0495138228152479,1.0,1.0,,,,,
124,63,3055,63,0.0483561545610427,1.0,1.0,,,,,
125,63,3143,63,0.0422028552409675,1.0,1.0,,,,,
126,64,3184,64,0.0656966687440872,0.0,0.0,,,,,
127,64,3096,64,0.0833407182842493,0.0,0.0,,,,,
128,65,3153,65,0.0500635888054966,1.0,1.0,0.0465089023411274,1.0,1.0,,
129,65,3217,65,0.0875073922611773,0.0,0.0,0.0397394566936418,1.0,1.0,,
130,66,3258,66,0.0574556629955768,0.0,0.0,,,,,
131,66,3194,66,0.0456425720602274,1.0,1.0,,,,,
132,67,3315,67,0.0447766401033316,1.0,1.0,,,,,
133,67,3251,67,0.0930783541394131,0.0,0.0,,,,,
134,68,3348,68,0.0543207936175167,1.0,1.0,,,,,
135,68,3292,68,0.0662712889164686,0.0,0.0,,,,,
136,69,3389,69,0.0538338842019438,0.0,0.0,,,,,
137,69,3341,69,0.0484120734284321,0.0,0.0,,,,,
138,70,3382,70,0.0555288677066564,0.0,0.0,,,,,
139,70,3422,70,0.0590880494657903,1.0,1.0,,,,,
140,71,3487,71,0.0451204858312849,0.0,0.0,,,,,
141,71,3399,71,0.154472475387156,0.0,0.0,,,,,
142,72,3536,72,0.0630351853432754,0.0,0.0,,,,,
143,72,3440,72,0.0454913319796323,1.0,1.0,,,,,
144,73,3481,73,0.0484915827065706,0.0,0.0,0.0472775170877575,0.0,0.0,,
145,73,3577,73,0.0620778158903121,0.0,0.0,0.1393261241912841,0.0,0.0,,
146,74,3642,74,0.0446009936928749,0.0,0.0,,,,,
147,74,3514,74,0.1000708026718348,0.0,0.0,,,,,
148,75,3563,75,0.0601331509277224,0.0,0.0,,,,,
149,75,3683,75,0.0509396464079618,0.0,0.0,,,,,
150,76,3604,76,0.0415252522528171,1.0,1.0,,,,,
151,76,3716,76,0.1469440336152911,0.0,0.0,,,,,
152,77,3661,77,0.0522125307896307,0.0,0.0,,,,,
153,77,3749,77,0.0677094944752752,0.0,0.0,,,,,
154,78,3702,78,0.0707531632110476,0.0,0.0,,,,,
155,78,3774,78,0.0885233944406112,0.0,0.0,,,,,
156,79,3751,79,0.0725740511963764,0.0,0.0,,,,,
157,79,3823,79,0.0473087906837463,1.0,1.0,,,,,
158,80,3880,80,0.0338441559885229,1.0,1.0,,,,,
159,80,4240,80,0.0244653894714858,0.0,0.0,,,,,
160,81,4281,81,0.0533572654873132,1.0,1.0,0.068831320144236,0.0,0.0,,
161,81,3929,81,0.0456637893430888,1.0,1.0,0.0494931089431047,0.0,0.0,,
162,82,3994,82,0.0492181516624987,0.0,0.0,,,,,
163,82,4322,82,0.0575852699577808,1.0,1.0,,,,,
164,83,4363,83,0.0498934303671121,1.0,1.0,,,,,
165,83,4035,83,0.0355043305009603,1.0,1.0,,,,,
